x1	x2	x3	x4	x5	y
1	1	12	400	424	0.05
2	4	-4	406	428	0.09
3	3	5	403	414	0.08
4	5	9	417	449	0.19
5	9	21	381	408	0.02
6	17	-4	396	423	0.09
7	20	5	407	435	0.22
8	13	-3	394	414	0.08
9	10	-17	403	426	0.07
10	18	5	403	423	0.17
11	14	14	402	430	0.11
12	19	4	411	434	0.17
13	17	24	398	420	0.09
14	24	-10	378	396	0.03
15	19	-2	407	429	0.18
16	22	24	398	402	0.1
17	29	8	406	412	0.3
18	21	16	409	430	0.24
19	23	38	413	431	0.35
20	35	9	392	430	0.11
21	23	20	394	423	0.05
22	27	17	390	405	0.07
23	36	40	399	428	0.19
24	39	22	397	426	0.18
25	25	16	398	427	0.11
26	30	7	397	429	0.11
27	41	8	414	426	0.73
28	40	6	405	430	0.35
29	38	19	400	418	0.25
30	34	38	396	414	0.16
31	42	55	400	421	0.3
32	45	32	389	423	0.1
33	34	56	394	410	0.05
34	43	58	377	389	0.04
35	39	50	406	441	0.45
36	42	31	393	403	0.12
37	49	30	387	398	0.11
38	42	27	389	411	0.14
39	45	47	399	429	0.27
40	47	44	407	435	0.52
41	44	40	398	424	0.35
42	56	67	417	454	1.79
43	44	42	402	425	0.47
44	57	42	400	410	0.31
45	59	57	392	412	0.26
46	51	23	383	405	0.12
47	60	40	393	405	0.35
48	49	50	413	423	1.11
49	63	17	403	428	0.63
50	54	24	388	383	1.55
51	54	44	397	417	0.39
52	56	50	398	416	0.53
53	62	69	382	406	0.12
54	59	57	394	419	0.35
55	60	55	410	420	1.25
56	60	70	394	422	0.36
57	71	50	395	410	0.51
58	67	50	398	407	0.79
59	67	62	406	416	0.91
60	61	24	398	413	0.42
61	75	48	424	428	7.55
62	72	82	416	446	3.32
63	67	67	405	433	0.91
64	74	51	400	431	0.98
65	69	48	379	409	0.15
66	67	87	403	436	1.17
67	74	64	385	406	0.29
68	80	76	399	401	1.22
69	71	66	404	424	1.15
70	79	47	412	439	3.32
71	84	59	391	417	0.6
72	78	61	413	417	3.32
73	84	49	411	409	3.46
74	76	81	401	416	1
75	83	77	402	415	1.52
76	81	73	411	446	2.56
77	83	69	397	413	0.82
78	81	93	408	413	2.67
79	93	80	392	398	0.76
80	92	98	403	416	3.07
81	95	100	406	429	2.72
82	82	84	398	412	1.38
83	89	79	403	427	1.68
84	94	57	396	412	2.06
85	91	100	396	410	1.25
86	97	78	393	427	1.38
87	89	69	417	440	5.59
88	94	84	395	415	1.2
89	102	74	399	423	2.67
90	92	98	406	434	2.32
91	94	76	420	447	10.6
92	102	98	390	419	0.68
93	105	69	392	402	1.75
94	105	74	392	408	1.86
95	101	71	383	405	0.91
96	102	103	399	405	2.61
97	103	85	401	425	3.01
98	98	104	396	408	1.27
99	110	80	401	425	4.86
100	105	75	388	397	1.27
