HW1     HW2     Test
      95      97      96
      76      48      65
      89      48      86
      91      57      79
      76      94      82
      47      27      86
      66       4      65
      73      74      79
      65      35      38
      95      92      96
      87      62      98
      94      86      96
     100     100      73
      78      89      92
      65      12      84
      93      80      92
      76      38      76
      95      57      89
      63      56      90
      75      62      77
      63      46      52
      62      52      38
      86      50      93
      63      26      24
