	Team	GP	W	L		OT	P	P%	G/G	GA/G	5-5F/A	PP%	PK%	S/G	SA/G	Sc1%	Tr1st%	Ld1%	Ld2%	OS%	OSB%	FO%
1	DET	82	54	21		7	115	.701	3.07	2.18	1.41	20.7	84.0	34.4	23.5	.860	.344	.897	.900	.714	.250	53.3
2	SJS	82	49	23		10	108	.659	2.63	2.28	1.07	18.7	85.8	29.6	24.2	.679	.423	.667	.921	.649	.476	51.2
3	MTL	82	47	25		10	104	.634	3.13	2.63	1.06	24.1	82.5	29.1	31.6	.776	.273	.848	.865	.607	.583	49.0
4	ANA	82	47	27		8	102	.622	2.40	2.24	1.17	16.6	83.1	27.3	28.0	.788	.429	.821	.909	.694	.439	50.2
5	PIT	82	47	27		8	102	.622	2.93	2.58	1.14	20.4	81.0	27.7	30.8	.725	.429	.808	.900	.710	.480	46.1
6	NJD	82	46	29		7	99	.604	2.42	2.35	1.02	15.6	82.8	28.8	27.5	.725	.405	.806	.879	.609	.514	50.4
7	MIN	82	44	28		10	98	.598	2.68	2.56	0.97	18.9	85.2	27.0	30.1	.800	.216	.767	.889	.500	.600	47.3
8	DAL	82	45	30		7	97	.591	2.89	2.49	1.11	18.1	85.6	26.7	26.1	.625	.476	.704	.775	.636	.472	50.4
9	NYR	82	42	27		13	97	.591	2.50	2.32	1.14	16.5	84.6	31.5	25.9	.681	.286	.758	.871	.500	.500	52.3
10	PHI	82	42	29		11	95	.579	2.99	2.77	0.90	21.8	83.2	28.8	31.8	.674	.333	.773	.882	.633	.438	49.3
11	COL	82	44	31		7	95	.579	2.73	2.63	1.16	14.6	81.4	28.6	27.3	.811	.311	.778	.875	.596	.452	47.8
12	OTT	82	43	31		8	94	.573	3.15	2.95	1.10	18.3	81.0	30.1	30.0	.723	.257	.786	.857	.512	.550	51.7
13	WSH	82	43	31		8	94	.573	2.90	2.77	1.06	18.8	80.5	31.0	27.5	.698	.333	.724	.900	.519	.560	51.2
14	BOS	82	41	29		12	94	.573	2.51	2.62	1.05	17.6	78.6	28.5	30.5	.714	.275	.724	.886	.486	.477	49.1
15	CGY	82	42	30		10	94	.573	2.76	2.73	1.07	16.8	81.5	28.2	28.5	.659	.342	.773	.800	.486	.525	49.5
16	CAR	82	43	33		6	92	.561	3.05	3.00	1.09	18.8	78.9	32.5	28.9	.743	.362	.793	.865	.596	.370	49.4
17	NSH	82	41	32		9	91	.555	2.77	2.73	1.01	14.8	85.4	29.6	29.8	.773	.184	.800	.929	.487	.513	50.5
18	BUF	82	39	31		12	90	.549	3.06	2.84	1.09	18.0	83.2	30.2	28.4	.676	.311	.792	.800	.523	.394	48.6
19	VAN	82	39	33		10	88	.537	2.52	2.51	1.00	17.1	82.6	27.5	28.9	.714	.225	.692	.931	.529	.419	48.7
20	EDM	82	41	35		6	88	.537	2.68	3.01	0.86	16.6	84.7	26.3	31.4	.750	.304	.696	.828	.440	.536	50.5
21	CHI	82	40	34		8	88	.537	2.85	2.82	1.05	15.9	82.1	28.0	28.6	.644	.297	.800	.931	.425	.500	52.3
22	FLA	82	38	35		9	85	.518	2.57	2.68	0.97	19.2	82.4	31.1	33.6	.641	.302	.645	.724	.483	.442	48.8
23	TOR	82	36	35		11	83	.506	2.78	3.12	0.96	17.8	78.1	31.0	29.3	.595	.311	.565	.759	.372	.528	49.8
24	PHX	82	38	37		7	83	.506	2.55	2.74	0.89	18.6	80.7	30.5	30.7	.771	.234	.700	.818	.538	.400	48.6
25	CBJ	82	34	36		12	80	.488	2.32	2.56	0.90	14.9	83.3	29.0	27.4	.676	.200	.778	.857	.400	.441	52.3
26	NYI	82	35	38		9	79	.482	2.30	2.93	0.89	14.6	81.9	29.7	30.3	.684	.205	.696	.880	.361	.467	51.0
27	STL	82	33	36		13	79	.482	2.46	2.83	0.94	14.1	84.4	26.1	27.4	.575	.238	.762	.815	.406	.404	51.8
28	ATL	82	34	40		8	76	.463	2.52	3.24	0.74	16.5	78.8	25.8	33.9	.588	.292	.700	.727	.600	.379	51.8
29	TBL	82	31	42		9	71	.433	2.70	3.24	0.76	19.3	82.0	28.7	28.2	.579	.205	.750	.742	.366	.410	49.7
30	LAK	82	32	43		7	71	.433	2.76	3.21	0.81	17.4	78.0	28.6	32.0	.515	.306	.565	.917	.375	.407	47.8
