Month,PE,HSE,RPI,RGDP,RGDI,RMTS,IPTI,Rec,mymonth
1980-01,0.6576,0.6831,0.4457,0.4493,0.4414,,0.5169,0,1
1980-02,0.6582,0.6839,0.4489,0.4493,0.4414,,0.5171,1,2
1980-03,0.659,0.682,0.4494,0.4493,0.4414,,0.5154,1,3
1980-04,0.6579,0.6787,0.4441,0.4402,0.4316,,0.5051,1,4
1980-05,0.6548,0.6767,0.4416,0.4402,0.4316,,0.4924,1,5
1980-06,0.6525,0.6749,0.4412,0.4402,0.4316,,0.4864,1,6
1980-07,0.6506,0.6757,0.4396,0.4395,0.4338,,0.4831,1,7
1980-08,0.6525,0.6759,0.4418,0.4395,0.4338,,0.4846,0,8
1980-09,0.6533,0.6776,0.4441,0.4395,0.4338,,0.4924,0,9
1980-10,0.6553,0.6793,0.4511,0.4477,0.445,,0.4986,0,10
1980-11,0.6572,0.6808,0.4534,0.4477,0.445,,0.5072,0,11
1980-12,0.6586,0.6814,0.4547,0.4477,0.445,,0.5101,0,12
1981-01,0.6593,0.6836,0.4526,0.4567,0.4488,,0.5072,0,13
1981-02,0.6598,0.6852,0.452,0.4567,0.4488,,0.5045,0,14
1981-03,0.6605,0.6878,0.4535,0.4567,0.4488,,0.5074,0,15
1981-04,0.661,0.6912,0.4528,0.4532,0.4492,,0.505,0,16
1981-05,0.6611,0.6911,0.4536,0.4532,0.4492,,0.5085,0,17
1981-06,0.6625,0.686,0.4559,0.4532,0.4492,,0.511,0,18
1981-07,0.6633,0.6887,0.4607,0.4586,0.4563,,0.5145,0,19
1981-08,0.6631,0.6887,0.4634,0.4586,0.4563,,0.5145,1,20
1981-09,0.6625,0.6844,0.4635,0.4586,0.4563,,0.5113,1,21
1981-10,0.6617,0.6865,0.4622,0.4529,0.4508,,0.5073,1,22
1981-11,0.6602,0.6854,0.4614,0.4529,0.4508,,0.5018,1,23
1981-12,0.6582,0.6815,0.4597,0.4529,0.4508,,0.4963,1,24
