Bottle Type,Shelf Type,Worker,Time
Plastic,Permanent,1,3.45
Plastic,Permanent,1,3.36
28mm glass,Permanent,1,4.07
28mm glass,Permanent,1,3.52
38mm glass,Permanent,1,4.2
38mm glass,Permanent,1,3.68
Plastic,End Aisle,1,4.14
Plastic,End Aisle,1,4.19
28mm glass,End Aisle,1,4.38
28mm glass,End Aisle,1,4.26
38mm glass,End Aisle,1,4.26
38mm glass,End Aisle,1,4.37
Plastic,Cooler,1,5.8
Plastic,Cooler,1,5.23
28mm glass,Cooler,1,5.48
28mm glass,Cooler,1,4.85
38mm glass,Cooler,1,5.67
38mm glass,Cooler,1,5.58
Plastic,Permanent,2,4.8
Plastic,Permanent,2,4.4
28mm glass,Permanent,2,4.52
28mm glass,Permanent,2,4.44
38mm glass,Permanent,2,4.96
38mm glass,Permanent,2,4.39
Plastic,End Aisle,2,5.22
Plastic,End Aisle,2,4.7
28mm glass,End Aisle,2,5.15
28mm glass,End Aisle,2,4.65
38mm glass,End Aisle,2,5.17
38mm glass,End Aisle,2,4.75
Plastic,Cooler,2,6.21
Plastic,Cooler,2,5.88
28mm glass,Cooler,2,6.25
28mm glass,Cooler,2,6.2
38mm glass,Cooler,2,6.03
38mm glass,Cooler,2,6.38
Plastic,Permanent,3,4.08
Plastic,Permanent,3,3.65
28mm glass,Permanent,3,4.3
28mm glass,Permanent,3,4.04
38mm glass,Permanent,3,4.17
38mm glass,Permanent,3,3.88
Plastic,End Aisle,3,3.94
Plastic,End Aisle,3,4.08
28mm glass,End Aisle,3,4.53
28mm glass,End Aisle,3,4.08
38mm glass,End Aisle,3,4.86
38mm glass,End Aisle,3,4.48
Plastic,Cooler,3,5.14
Plastic,Cooler,3,4.49
28mm glass,Cooler,3,4.99
28mm glass,Cooler,3,4.59
38mm glass,Cooler,3,4.85
38mm glass,Cooler,3,4.9
