Cake_rep ingredient	baking_time	Taste
1	Mix 1	1	90
2	Mix 1	1	91
3	Mix 1	1	95
1	Mix 1	1.25	92
2	Mix 1	1.25	89
3	Mix 1	1.25	88
1	Mix 1	1.5	85
2	Mix 1	1.5	83
3	Mix 1	1.5	80
1	Mix 1	1.75	80
2	Mix 1	1.75	78
3	Mix 1	1.75	79
1	Mix 2	1	99
2	Mix 2	1	96
3	Mix 2	1	93
1	Mix 2	1.25	89
2	Mix 2	1.25	87
3	Mix 2	1.25	89
1	Mix 2	1.5	92
2	Mix 2	1.5	90
3	Mix 2	1.5	87
1	Mix 2	1.75	87
2	Mix 2	1.75	85
3	Mix 2	1.75	80
1	Mix 3	1	79
2	Mix 3	1	79
3	Mix 3	1	74
1	Mix 3	1.25	80
2	Mix 3	1.25	84
3	Mix 3	1.25	83
1	Mix 3	1.5	88
2	Mix 3	1.5	90
3	Mix 3	1.5	91
1	Mix 3	1.75	86
2	Mix 3	1.75	85
3	Mix 3	1.75	85
