Education Happiness	Health	Count;
0	1	1	606
0	1	2	932
0	1	3	588
0	1	4	202
0	2	1	637
0	2	2	1268
0	2	3	1356
0	2	4	502
0	3	1	168
0	3	2	430
0	3	3	570
0	3	4	370
1	1	1	2143
1	1	2	2066
1	1	3	549
1	1	4	101
1	2	1	2593
1	2	2	5007
1	2	3	1302
1	2	4	310
1	3	1	376
1	3	2	813
1	3	3	572
1	3	4	230
2	1	1	279
2	1	2	177
2	1	3	33
2	1	4	8
2	2	1	267
2	2	2	463
2	2	3	100
2	2	4	23
2	3	1	30
2	3	2	64
2	3	3	42
2	3	4	10
3	1	1	900
3	1	2	528
3	1	3	81
3	1	4	11
3	2	1	961
3	2	2	1040
3	2	3	213
3	2	4	38
3	3	1	81
3	3	2	155
3	3	3	76
3	3	4	30
4	1	1	480
4	1	2	276
4	1	3	43
4	1	4	15
4	2	1	437
4	2	2	409
4	2	3	97
4	2	4	17
4	3	1	39
4	3	2	52
4	3	3	27
4	3	4	13
