bsal	fsex	senior	age	educ	exper
5040	Male	96	329	15	14
6300	Male	82	357	15	72
6000	Male	67	315	15	35.5
6000	Male	97	354	12	24
6000	Male	66	351	12	56
6840	Male	92	374	15	41.5
8100	Male	66	369	16	54.5
6000	Male	82	363	12	32
6000	Male	88	555	12	252
6900	Male	75	416	15	132
6900	Male	89	481	12	175
5400	Male	91	331	15	17.5
6000	Male	66	355	15	64
6000	Male	86	348	15	25
5100	Female	95	640	15	165
4800	Female	98	774	12	381
5280	Female	98	557	8	190
5280	Female	88	745	8	90
4800	Female	77	505	12	63
4800	Female	76	482	12	6
5400	Female	86	329	15	24
5520	Female	82	558	12	97
5400	Female	88	338	12	26
5700	Female	76	667	12	90
3900	Female	98	327	12	0
4800	Female	75	619	12	144
6120	Female	78	624	12	208.5
5220	Female	70	671	8	102
5100	Female	66	554	8	96
4380	Female	92	305	8	6.25
4290	Female	69	280	12	5
5400	Female	66	534	15	122
4380	Female	92	305	12	0
5400	Female	65	603	8	173
5400	Female	66	302	12	26
4500	Female	96	366	8	52
5400	Female	70	628	12	82
5520	Female	67	694	12	196
5640	Female	90	368	12	55
4800	Female	73	590	12	228
5400	Female	66	771	8	228
4500	Female	80	298	12	8
5400	Female	77	325	12	38
5400	Female	72	589	15	49
6300	Female	66	394	12	86.5
5160	Female	87	320	12	18
5100	Female	98	571	15	115
4800	Female	79	602	8	70
5400	Female	98	568	12	244
4020	Female	92	528	10	44
4980	Female	74	718	8	318
5280	Female	88	653	12	107
5700	Female	65	714	15	241
4800	Female	87	647	12	163
4800	Female	82	338	12	11
5700	Female	82	362	15	51
4380	Female	93	303	12	4.5
4380	Female	89	310	12	0
5400	Male	88	359	12	38
5400	Male	96	474	12	113
5100	Male	84	535	12	180
6600	Male	66	369	15	84
5100	Male	97	637	12	315
6600	Male	83	536	15	215.5
5700	Male	94	392	15	36
6000	Male	91	364	12	49
6000	Male	83	521	15	108
6000	Male	80	686	12	272
6000	Male	87	364	15	56
4620	Male	77	293	12	11.5
5220	Male	85	344	12	29
6600	Male	83	340	15	64
5400	Male	78	305	12	7
6000	Male	78	659	8	320
5400	Male	88	690	15	359
6000	Male	96	402	16	45.5
5700	Female	88	410	15	61
5400	Female	78	584	15	51
4440	Female	97	341	15	75
6300	Female	84	662	15	231
6000	Female	69	488	12	121
5100	Female	85	406	12	59
4800	Female	87	349	12	11
5100	Female	87	508	16	123
5700	Female	74	542	12	116.5
5400	Female	72	604	12	169
5100	Female	84	458	12	36
4800	Female	84	571	16	214
6000	Female	86	486	15	78.5
4380	Female	93	313	8	7.5
5580	Female	69	600	12	132.5
4620	Female	96	385	12	52
5220	Female	70	468	12	127
