 52.2   46.7   75.2   52.2    1
 56.4   60.5   63.7   56.4    1
 57.1   58.9   73.2   57.1    1
 46.9   62.9   66.2   46.9    1
 49.1   65.8   67.4   49.1    1
 52.5   53.3   69.4   52.5    1
 63.0   66.9   70.4   63.0    1
 52.0   70.9   72.3   52.0    1
 61.1   73.7   63.6   61.1    1
 55.3   65.8   61.9   55.3    1
 46.2   70.2   74.4   46.2    1
 57.2   68.9   70.1   57.2    1
    *      *      *   46.7    2
    *      *      *   60.5    2
    *      *      *   58.9    2
    *      *      *   62.9    2
    *      *      *   65.8    2
    *      *      *   53.3    2
    *      *      *   66.9    2
    *      *      *   70.9    2
    *      *      *   73.7    2
    *      *      *   65.8    2
    *      *      *   70.2    2
    *      *      *   68.9    2
    *      *      *   75.2    3
    *      *      *   63.7    3
    *      *      *   73.2    3
    *      *      *   66.2    3
    *      *      *   67.4    3
    *      *      *   69.4    3
    *      *      *   70.4    3
    *      *      *   72.3    3
    *      *      *   63.6    3
    *      *      *   61.9    3
    *      *      *   74.4    3
    *      *      *   70.1    3
