x	y
1	-2.310886
2	-5.978213
3	-7.268046
4	-11.558731
5	-12.323553
6	-12.553659
7	-16.768325
8	-18.609454
9	-17.349267
10	-19.262508
11	-20.691651
12	-23.276633
13	-22.952506
14	-23.764384
15	-24.162268
16	-27.881682
17	-29.420782
18	-27.234193
19	-29.511692
20	-29.394303
21	-32.437523
22	-33.060268
23	-33.626442
24	-33.520961
25	-36.998473
26	-36.475155
27	-37.222097
28	-38.527577
29	-36.828433
30	-39.882673
31	-38.638197
32	-40.007690
33	-41.705164
34	-42.567736
35	-42.739246
36	-43.097216
37	-43.496772
38	-43.555974
39	-44.756059
40	-46.326964
41	-48.247534
42	-45.309137
43	-47.485062
44	-48.487347
45	-49.114923
46	-49.388666
47	-49.622735
48	-48.838060
49	-49.083644
50	-52.032619
