'Sales'	'Time'	'MktPoten'	'Adver'	'MktShare'	'Change'	'Accts'	'WkLoad'	'Rating'
3669.88	43.1	74065.11	4582.88	2.51	.34	74.86	15.05	4.9
3473.95	108.13	58117.3	5539.78	5.51	.15	107.32	19.97	5.1
2295.1	13.82	21118.49	2950.38	10.91	-.72	96.75	17.34	2.9
4675.56	186.18	68521.27	2243.07	8.27	.17	195.12	13.4	3.4
6125.96	161.79	57805.11	7747.08	9.15	.5	180.44	17.64	4.6
2134.94	8.94	37806.94	402.44	5.51	.15	104.88	16.22	4.5
5031.66	365.04	50935.26	3140.62	8.54	.55	256.1	18.8	4.6
3367.45	220.32	35602.08	2086.16	7.07	-.49	126.83	19.86	2.3
6519.45	127.64	46176.77	8846.25	12.54	1.24	203.25	17.42	4.9
4876.37	105.69	42053.24	5673.11	8.85	.31	119.51	21.41	2.8
2468.27	57.72	36829.71	2761.76	5.38	.37	116.26	16.32	3.1
2533.31	23.58	33612.67	1991.85	5.43	-.65	142.28	14.51	4.2
2408.11	13.82	21412.79	1971.52	8.48	.64	89.43	19.35	4.3
2337.38	13.82	20416.87	1737.38	7.8	1.01	84.55	20.02	4.2
4586.95	86.99	36272	10694.2	10.34	.11	119.51	15.26	5.5
2729.24	165.85	23093.26	8618.61	5.15	.04	80.49	15.87	3.6
3289.4	116.26	26878.59	7747.89	6.64	.68	136.58	7.81	3.4
2800.78	42.28	39571.96	4565.81	5.45	.66	78.86	16	4.2
3264.2	52.84	51866.15	6022.7	6.31	-.1	136.58	17.44	3.6
3453.62	165.04	58749.82	3721.1	6.35	-.03	138.21	17.98	3.1
1741.45	10.57	23990.82	860.97	7.37	-1.63	75.61	20.99	1.6
2035.75	13.82	25694.86	3571.51	8.39	-.43	102.44	21.66	3.4
1578	8.13	23736.35	2845.5	5.15	.04	76.42	21.46	2.7
4167.44	58.54	34314.29	5060.11	12.88	.22	136.58	24.78	2.8
2799.97	21.14	22809.53	3552	9.14	-.74	88.62	24.96	3.9
