"origin","dest","delay","carrier","air_time","weekend"
"JFK","PSE",1,0,3.25,1
"JFK","BQN",1,0,3.1,1
"JFK","BQN",0,0,3.15,1
"JFK","PBI",0,0,2.25,1
"JFK","MCO",0,0,2.2333,1
"JFK","SJU",0,0,3.3333,1
"JFK","FLL",0,0,2.4,1
"JFK","ATL",0,1,1.85,1
"JFK","TPA",0,0,2.3833,1
"JFK","RSW",1,0,2.55,1
"JFK","MSY",0,0,2.8,1
"JFK","LAX",0,0,5.85,1
"JFK","SLC",0,1,4.6833,1
"JFK","SJU",0,1,3.3167,1
"JFK","SFO",0,1,5.7333,1
"JFK","SAT",1,1,3.5167,1
"JFK","PBI",0,0,2.35,1
"JFK","ORD",0,0,1.9833,1
"JFK","BOS",1,0,0.7333,1
"JFK","SJU",0,0,3.5333,1
"JFK","LAX",1,1,5.8,1
"JFK","BUF",1,0,0.9333,1
"JFK","JAX",0,0,2.05,1
"JFK","RDU",0,0,1.1667,1
"JFK","SEA",0,1,5.6167,1
"JFK","IAD",0,0,0.7167,1
"JFK","CHS",0,0,1.5833,1
"JFK","BOS",0,0,0.6667,1
"JFK","MIA",0,1,2.3,1
"JFK","MCO",0,1,2.2167,1
"JFK","FLL",0,1,2.5333,1
"JFK","TPA",0,1,2.3167,1
"JFK","MCO",0,0,2.2,1
"JFK","FLL",0,0,2.5333,1
"JFK","SAN",0,1,5.5833,1
"JFK","HOU",0,0,3.4333,1
"JFK","LAS",1,1,4.9167,1
"JFK","CLT",0,0,1.45,1
"JFK","ATL",0,1,1.7667,1
"JFK","TPA",0,0,2.4,1
"JFK","SFO",0,0,5.7167,1
"JFK","PWM",0,0,0.8167,1
"JFK","SAN",0,0,5.6333,1
"JFK","SJU",0,1,3.2333,1
"JFK","LAX",0,1,5.3333,1
"JFK","BTV",0,0,0.7333,1
"JFK","RSW",0,0,2.8,1
"JFK","FLL",1,0,2.7667,1
"JFK","PBI",1,0,2.3,1
"JFK","ROC",0,0,0.8167,1
"JFK","LAX",0,0,5.7,1
"JFK","SYR",0,0,0.7167,1
"JFK","SJU",0,0,3.2833,1
"JFK","SRQ",1,0,2.4667,1
"JFK","AUS",1,0,3.55,1
"JFK","LAS",0,0,5.15,1
"JFK","SFO",0,1,5.8333,1
"JFK","TPA",0,0,2.2833,1
"JFK","LAS",0,1,5.1,1
"JFK","BUF",0,0,0.9833,1
"JFK","FLL",1,0,2.4833,1
"JFK","MCO",1,0,2.2,1
"JFK","BOS",1,0,0.7167,1
"JFK","MCO",0,1,2.25,1
"JFK","SLC",1,1,4.6333,1
"JFK","LAX",0,0,5.5667,1
"JFK","LAX",1,1,5.6667,1
"JFK","SYR",1,0,0.7167,1
"JFK","PBI",1,0,2.5167,1
"JFK","BOS",0,0,0.75,1
"JFK","SLC",0,1,4.6833,1
"JFK","BTV",0,0,0.75,1
"JFK","ATL",0,1,1.85,1
"JFK","LAX",0,0,5.65,1
"JFK","SFO",0,1,5.75,1
"JFK","PBI",0,0,2.6,1
"JFK","BUF",0,0,0.9333,1
"JFK","PWM",0,0,0.7667,1
"JFK","RSW",1,0,2.4667,1
"JFK","FLL",1,0,2.6333,1
"JFK","MCO",1,0,2.2667,1
"JFK","LGB",0,0,5.55,1
"JFK","CHS",0,0,1.5833,1
"JFK","BOS",1,0,0.5333,1
"JFK","JAX",0,0,2.05,1
"JFK","MSY",0,0,3.0333,1
"JFK","FLL",0,0,2.9,1
"JFK","HOU",0,0,3.65,1
"JFK","TPA",0,0,2.3167,1
"JFK","MCO",0,0,2.2333,1
"JFK","SJU",0,0,3.3,1
"JFK","SJU",0,1,3.1833,1
"JFK","LAS",0,1,5,1
"JFK","SEA",0,1,5.7833,1
"JFK","ROC",1,0,0.9,1
"JFK","MCO",0,0,2.55,1
"JFK","LAX",0,1,5.65,1
"JFK","RSW",0,0,2.5833,1
"JFK","FLL",0,0,3.1833,1
"JFK","MIA",0,1,2.5,1
"JFK","SFO",0,1,5.8167,1
"JFK","FLL",1,1,2.6167,1
"JFK","ATL",0,1,1.7833,1
"JFK","SLC",1,1,4.6167,1
"JFK","PBI",1,0,2.3667,1
"JFK","MCO",0,0,2.2667,1
"JFK","MCO",1,1,2.2,1
"JFK","PDX",0,1,5.8,1
"JFK","BUF",1,0,0.9667,1
"JFK","BOS",0,0,0.5333,1
"JFK","FLL",0,0,2.8167,1
"JFK","OAK",0,0,5.8333,1
"JFK","LAX",1,0,5.1833,1
"JFK","BTV",0,0,0.7833,1
"JFK","AUS",0,1,3.7667,1
"JFK","CLT",0,0,1.45,1
"JFK","SAN",1,0,5.4833,1
"JFK","RDU",0,0,1.2,1
"JFK","LAX",1,1,5.4833,1
"JFK","IAD",0,0,1.2333,1
"JFK","SFO",1,1,5.8333,1
"JFK","SFO",1,0,5.9167,1
"JFK","PHX",0,0,4.7667,1
"JFK","BUR",1,0,5.45,1
"JFK","LAS",0,1,5.1167,1
"JFK","LGB",1,0,5.3667,1
"JFK","MIA",0,1,2.4833,1
"JFK","LAX",1,1,5.4,1
"JFK","ATL",0,1,1.8,1
"JFK","DTW",0,1,1.4833,1
